名称,仕様,単位,見積単価,仕入単価,カテゴリ,備考
現地調査、幹線詳細設計及びドキュメント類作成,,,,, 労務費,
現地調査/詳細設計,,式,90000,,労務費,
ドキュメント作成費,,式,120000,,労務費,
回線工事関連,,,,, 労務費,
回線工事立会,,回,20000,,労務費,
ラック設置工事,材工含む,,,, 労務費,
MDF設置/スプライスユニット/シングルサイトマネージャ等含む,,MDF,320000,,労務費,
IDF設置/スプライスユニット/シングルサイトマネージャ等含む,,IDF,200000,,労務費,
MDF~IDF Fiberケーブル配線,,IDF,120000,,労務費,
MDF~IDF Analogケーブル配線,,IDF,32000,,労務費,
MDF配線用ラダー・ダクト設置,,MDF,100000,,労務費,
IDF配線用ラダー・ダクト設置,,IDF,100000,,労務費,
MDF電源配線,,式,500000,,労務費,
IDF電源配線,,式,200000,,労務費,
ネットワーク機器・UPS設置、接続作業,,式,170000,,労務費,
MDF接続作業,,式,80000,,労務費,
IDF接続作業,,式,70000,,労務費,
雑工事,10%,式,,,労務費,
配管工事・貫通工事・及びLAN/光ケーブル・電源に関わる設備工事,材工含む,,,, 労務費,
PF管（付帯工事）,,m,450,,労務費,
PF管（IT工事・その他）,,m,450,,労務費,
雑工事,10%,式,,,労務費,
配線支持関連,材工含む,,,, 労務費,
配線支持（吊り金具）,,本,1150,,労務費,
配線支持（ケーブルラック）,,m,15500,,労務費,
雑工事,10%,式,,,労務費,
貫通工事関連,材工含む,,,, 労務費,
壁貫通（防火区画処理費含む）,,箇所,13000,,労務費,
床貫通（防火区画処理費含む）,,箇所,50000,,労務費,
レントゲン撮影,,箇所,150000,,労務費,
雑工事,10%,式,,,労務費,
ネットワーク配線工事（すべてのLAN配線含む）,材工含む,,,, 労務費,
UTPケーブル,Cat6,m,176,,労務費,
1Pローゼット,Cat6,個,2700,,労務費,
モジュラープラグ,Cat6,個,650,,労務費,
UTPパッチパネル,"Cat6,24P",枚,21000,,労務費,
PF設備工事（Security Camera /NW本数）,,m,450,,労務費,
金属管設備工事（Security Camera /NW本数）,,m,1300,,労務費,
雑工事,10%,式,,,労務費,
WAP設置工事,材工含む,,,, 労務費,
WAP設置,,AP,20000,,労務費,
雑工事,10%,式,,,労務費,
端末設備工事・設定,材工含む,,,, 労務費,
Printer/Monitor/Charger/Station端末・モニタ・PC設置,,台,1700,,労務費,
EUE関連機器,,台,1800,,労務費,
My Time,,台,36000,,労務費,
Heat Index,,台,30000,,労務費,
端末側カッチングダクト設置,,本,17000,,労務費,
機器設定作業,,人工,40000,,労務費,
一般機器設置作業,,人工,40000,,労務費,
雑工事,10%,式,,,労務費,
追加/変更工事対応,,,,,労務費,
管理者,,人工,45000,,労務費,
作業員,,人工,40000,,労務費,
高所作業車,,台,5000,,労務費,
高所作業車運搬費,,式,90000,,労務費,
建設機械等損料,,,,,労務費,
高所作業車,,台,5000,,労務費,
高所作業車運搬費,,式,90000,,労務費,
かご台車レンタル費用,,台,150,,労務費,
かご台車運搬費用,,式,80000,,労務費,
中間検査・最終検査対応費,,式,80000,,労務費,
完成図書作成費,,式,150000,,労務費,
機器納品受け入れ・開梱・管理・登録・梱包材の整理,材工含む,,,, 労務費,
作業員（機器納品受入）,,人工,40000,,労務費,
管理者（資産登録作業）,,人工,45000,,労務費,
作業員（資産登録作業）,,人工,40000,,労務費,
梱包材等処理費用,,台,150000,,労務費,
セキュリティカメラ設置工事,材工含む,,,, 労務費,
カメラ設置作業,,cam,34000,,労務費,
画角調整作業,設置後＋2回分含む,cam,6000,,労務費,
雑工事,10%,式,,,労務費,
現場管理費,労務費の10%,式,,,共通費,
一般管理費,労務費の7%,式,,,共通費,
安全対策費,労務費の3%,式,,,共通費,
