名称,仕様,単位,見積単価,仕入単価,カテゴリ,備考
車両費,日間×台,台,11000,8000,共通費,
車両費,往復170km以上の場合は　往復距離×70円×台数,台,,,共通費,
試験調整費,,式,,,共通費,
Fluke損料（DSX-8000）,Flukeデータ提出含む,日,12000,9000,共通費,
Fluke損料（ファイバーモジュール）,Flukeデータ提出含む,日,9000,7000,共通費,
高所作業車損料（6m）,日間×台,台,8000,6000,共通費,
高所作業車損料（8m）,日間×台,台,10000,8000,共通費,
高所作業車輸送費,往復（夜間）,台,120000,80000,共通費,
高所作業車輸送費,往復（日中）,台,90000,60000,共通費,
高所作業車（自走式/バケット車）ガソリン代含む,日間×台,台,40000,25000,共通費,
立ち馬損料（1.8m）,日間×台,台,1800,,共通費,
立ち馬輸送費,往復（夜間）,台,50000,,共通費,
立ち馬輸送費,往復（日中）,台,30000,,共通費,
かご台車損料,日間×台,台,150,80,共通費,
かご台車運搬費用,,回,80000,50000,共通費,
現場管理費,材料費＋労務費の15%,式,,,共通費,
一般管理費,材料費＋労務費の10%,式,,,共通費,
安全対策費,労務費の3%,式,,,共通費,
法定福利費,労務費の16%,式,,,共通費,
諸経費,材料費＋労務費＋共通費の3%,式,,,共通費,
