名称,仕様,単位,見積単価,仕入単価,カテゴリ,備考
UTPケーブル/Cat6,,m,95,70,材料費,
UTPケーブル/Cat6A,,m,200,150,材料費,
カードリーダー用ケーブル / FCPEV-S 0.9×5P,台×80m,m,429,300,材料費,
ドアコン・タンパスイッチ用ケーブル / FCPEV-S 0.65×1P,台×80m,m,150,105,材料費,
シャッターセンサー用ケーブル / FCPEV-S 0.65×2P,台×80m,m,195,136,材料費,
フラッパーゲート用ケーブル / FCPEV-S 0.65×3P,台×80m,m,240,168,材料費,
電気錠用ケーブル / FCPEV-S 0.9×5P,台×80m,m,429,300,材料費,
ロックダウンボタン・サウンダー用ケーブル / MVVS 0.75sq×2C,台×80m,m,172,120,材料費,
アクセスコントロール間用ケーブル / FCPEV-S 0.65×2P,台×200m,m,195,136,材料費,
モジュラーロゼット/Cat6　1個口,3M VOL-SMB-1TK6,個,900,700,材料費,
モジュラーロゼット/Cat6　1個口,PANDUIT JOQ1H600,個,2200,1700,材料費,
モジュラージャック/Cat6　パッチパネル用,PANDUIT CJ688TPBL,個,1500,1200,材料費,
モジュラーロゼット/Cat6A,PANDUIT JOQ1H6A00,個,2700,2100,材料費,
情報コンセント/Cat6A,コンセントプレート等含む,個,2500,1900,材料費,
情報コンセント/Cat6,コンセントプレート等含む,個,1900,1500,材料費,
RJ-45/Cat6,,個,160,120,材料費,
RJ-45/Cat6A,,個,390,290,材料費,
24ポートパッチパネルキット/Cat6,3M VOL-PPUD24OC6-JPN,個,18000,13500,材料費,
24ポートパッチパネルキット/Cat6,PANDUIT CPPKL6G24WBL,個,42000,32000,材料費,
48ポートパッチパネルキット/Cat6,PANDUIT CPPKL6G48WBL,個,77000,60000,材料費,
シングルサイトマネージャ,CWMPV3440,個,32000,23000,材料費,
ヒンジ式ダクト型水平ケーブル管理パネル,WMPLFSE,個,7000,5000,材料費,
スリット付棚板,RP913-01SB,個,5900,4500,材料費,
前後マウント取付台板,RPM15-58LSB,個,11000,8000,材料費,
余長格納ユニット,RD872-1EK,個,8000,6000,材料費,
パッチケーブル/Cat6,20cm,本,1000,865,材料費,
パッチケーブル/Cat6,1m,本,1100,865,材料費,
パッチケーブル/Cat6,2m,本,1250,990,材料費,
パッチケーブル/Cat6,3m,本,1400,1100,材料費,
パッチケーブル/Cat6,5m,本,1700,1360,材料費,
パッチケーブル/Cat6,7m,本,2000,1600,材料費,
パッチケーブル/Cat6A,1m,本,1900,1500,材料費,
パッチケーブル/Cat6A,2m,本,2050,1630,材料費,
パッチケーブル/Cat6A,3m,本,2200,1770,材料費,
4芯テープスロット型光ケーブル SM 8芯,8SM(PAPB)-SZ4R(EZB)-WB-E,m,300,220,材料費,
4芯テープスロット型光ケーブル SM 12芯,16SM(PAPB)-SZ4R(EZB)-WB-E,m,320,240,材料費,
4芯テープスロット型光ケーブル SM 24芯,24SM(PAPB)-SZ4R(EZB)-WB-E,m,450,340,材料費,
